Wavelength_i,Wavelength_j,Wavelength_k,TBI_Type,R2,RMSE,rRMSE,MAE,Correlation
914,822,774,TBI13,0.4883032563390086,19.859322,0.29586735,16.135143,0.6987869813001825
914,774,822,TBI13,0.48830324142276493,19.859322,0.29586735,16.135145,-0.6987869686678031
822,778,918,TBI25,0.4882952379935557,19.859478,0.29586968,16.09076,-0.6987812603422012
918,778,822,TBI25,0.4882952379935557,19.859478,0.29586968,16.09076,0.6987812603422012
822,778,918,TBI24,0.4882952248563821,19.859476,0.29586965,16.09076,-0.6987812295536425
918,778,822,TBI24,0.488295200781252,19.859478,0.29586968,16.090761,0.698781204329091
822,778,922,TBI13,0.48793610004986787,19.866446,0.29597348,16.038403,0.6985242181875377
822,922,778,TBI13,0.48793607816583484,19.866446,0.29597348,16.038403,-0.6985242360553136
822,922,782,TBI13,0.48725241749502424,19.879702,0.29617098,16.156267,-0.6980346815996796
822,782,922,TBI13,0.48725239808164644,19.879704,0.296171,16.156275,0.6980346839606407
822,918,778,TBI13,0.48720683681601096,19.880587,0.29618415,15.984961,-0.6980020312438245
822,778,918,TBI13,0.4872068180261937,19.880587,0.29618415,15.984958,0.6980020284395482
778,922,822,TBI25,0.48675002657116173,19.88944,0.29631606,15.947024,-0.6976747297435484
822,922,778,TBI25,0.4867500169200236,19.88944,0.29631606,15.947026,0.6976747237215626
822,922,778,TBI24,0.486750014092445,19.88944,0.29631606,15.947026,0.6976747267260182
778,922,822,TBI24,0.48674997110790563,19.88944,0.29631606,15.947024,-0.6976746149693044
822,774,918,TBI25,0.48673847013757265,19.889664,0.2963194,16.070787,-0.6976664473983386
918,774,822,TBI25,0.48673847013757265,19.889664,0.2963194,16.070787,0.6976664473983386
822,774,918,TBI24,0.4867383798159116,19.889666,0.29631943,16.070791,-0.6976664395200493
918,774,822,TBI24,0.4867381350626361,19.88967,0.29631948,16.070795,0.6976663417155369
914,774,822,TBI24,0.4865858151279897,19.89262,0.29636344,16.005331,0.6975569484605861
822,774,914,TBI24,0.4865857781308002,19.892622,0.29636347,16.005333,-0.6975569912401379
822,774,914,TBI25,0.4865856990949968,19.892624,0.2963635,16.005333,-0.6975569583514696
914,774,822,TBI25,0.4865856990949968,19.892624,0.2963635,16.005333,0.6975569583514696
782,922,822,TBI24,0.48612032656913773,19.901638,0.2964978,16.041597,-0.6972233223314716
782,922,822,TBI25,0.48611900371787087,19.90166,0.29649812,16.041632,-0.6972223466309945
822,922,782,TBI25,0.48611854176739433,19.901672,0.2964983,16.041641,0.6972220176342335
822,922,782,TBI24,0.4861185040396028,19.901672,0.2964983,16.041643,0.6972219891685958
822,778,922,TBI24,0.4860699094413182,19.902613,0.2965123,16.176817,-0.6971871485574229
822,778,922,TBI25,0.4860698905692703,19.902615,0.29651234,16.176817,-0.6971871387986204
922,778,822,TBI25,0.4860698905692703,19.902615,0.29651234,16.176817,0.6971871387986204
922,778,822,TBI24,0.48606985072301023,19.902615,0.29651234,16.176813,0.697187110718437
918,822,774,TBI13,0.48549409209858096,19.91376,0.29667836,16.245722,0.6967740614863324
918,774,822,TBI13,0.48549400341018945,19.913761,0.2966784,16.245722,-0.6967740375571275
918,822,778,TBI13,0.48521515568968654,19.919157,0.2967588,16.295996,0.6965738766847576
918,778,822,TBI13,0.48521509531052687,19.919159,0.29675883,16.295994,-0.6965738481063861
870,938,854,TBI24,0.4852109130319229,19.919239,0.29676002,15.452888,0.6965707261821207
854,938,870,TBI24,0.485210791932445,19.91924,0.29676005,15.45289,-0.6965707175172959
854,938,870,TBI25,0.4852106730978364,19.919243,0.29676005,15.452904,-0.6965706374238967
870,938,854,TBI25,0.4852106730978364,19.919243,0.29676005,15.452904,0.6965706374238967
910,774,822,TBI13,0.48510822296201106,19.921225,0.2967896,16.177395,-0.6964971016639738
910,822,774,TBI13,0.48510820231981444,19.921225,0.2967896,16.177393,0.6964971033435872
822,774,918,TBI13,0.48482614518115263,19.926682,0.2968709,15.973974,0.6962945455666588
822,918,774,TBI13,0.4848260704391101,19.926683,0.29687092,15.973974,-0.696294533244774
822,774,922,TBI13,0.4846951401995945,19.929214,0.29690862,16.027224,0.6962004779051604
822,922,774,TBI13,0.48469506473182355,19.929218,0.29690868,16.027227,-0.6962004638577172
822,782,922,TBI24,0.48469278251435344,19.92926,0.2969093,16.312218,-0.6961987829061221
822,782,922,TBI25,0.4846927033028434,19.929262,0.29690933,16.312218,-0.696198760622952
922,782,822,TBI25,0.4846927033028434,19.929262,0.29690933,16.312218,0.696198760622952
922,782,822,TBI24,0.48469256700835706,19.929264,0.29690936,16.312214,0.6961987044484792
854,938,870,TBI13,0.4844698656982662,19.93357,0.29697353,15.442224,0.6960386687294614
854,870,938,TBI13,0.48446982547021744,19.93357,0.29697353,15.44223,-0.6960386607125589
870,854,938,TBI13,0.4843347600792549,19.936182,0.29701242,15.486893,0.6959416344659693
870,938,854,TBI13,0.48433469784288274,19.936184,0.29701245,15.4868965,-0.6959415956370091
914,778,822,TBI13,0.48414874110815054,19.939777,0.297066,16.246933,-0.695807968903493
914,822,778,TBI13,0.4841487026708947,19.93978,0.29706603,16.246931,0.6958079587192091
778,918,822,TBI25,0.4835500260276204,19.951347,0.29723835,15.910288,-0.6953776029615767
778,918,822,TBI24,0.48355000531066883,19.951345,0.29723835,15.910293,-0.6953776044504072
822,918,778,TBI24,0.4835499603145572,19.95135,0.29723838,15.910287,0.6953775804949679
822,918,778,TBI25,0.4835499348483383,19.95135,0.29723838,15.910287,0.6953775574350691
914,778,822,TBI24,0.4834423280945618,19.953426,0.29726934,16.111145,0.6953000475430011
822,778,914,TBI24,0.4834422055034543,19.953428,0.29726937,16.111145,-0.6953000555428235
822,778,914,TBI25,0.48344219106180464,19.95343,0.2972694,16.111145,-0.6953000651846384
914,778,822,TBI25,0.48344219106180464,19.95343,0.2972694,16.111145,0.6953000651846384
922,774,822,TBI24,0.4833756344854835,19.954714,0.2972885,16.153008,0.6952521873163333
822,774,922,TBI25,0.48337554515013537,19.954716,0.29728854,16.153015,-0.6952521521187578
922,774,822,TBI25,0.48337554515013537,19.954716,0.29728854,16.153015,0.6952521521187578
822,774,922,TBI24,0.4833754936688789,19.954718,0.29728857,16.153015,-0.6952521681886173
822,922,774,TBI25,0.4830439075303531,19.96112,0.29738396,15.949426,0.6950135620380795
822,922,774,TBI24,0.4830438419162356,19.96112,0.29738396,15.949429,0.6950135394809908
774,922,822,TBI25,0.48304270350612266,19.961143,0.29738432,15.949447,-0.6950127607346913
774,922,822,TBI24,0.48304066832697645,19.961182,0.2973849,15.949471,-0.6950113224035598
822,774,910,TBI25,0.4827178858436042,19.967413,0.29747772,16.152538,-0.6947790208978254
910,774,822,TBI25,0.4827178858436042,19.967413,0.29747772,16.152538,0.6947790208978254
822,774,910,TBI24,0.4827178830927462,19.967413,0.29747772,16.152538,-0.6947790635792231
910,774,822,TBI24,0.48271788242562164,19.967413,0.29747772,16.152542,0.6947790615281363
818,778,918,TBI24,0.4826518089931795,19.968689,0.29749674,16.177452,-0.694731448869673
918,778,818,TBI24,0.4826517751789049,19.968689,0.29749674,16.177454,0.6947314000877657
818,778,918,TBI25,0.48265170679128544,19.96869,0.29749674,16.177452,-0.694731406627577
918,778,818,TBI25,0.48265170679128544,19.96869,0.29749674,16.177452,0.694731406627577
914,818,774,TBI13,0.4825675107240549,19.970316,0.29752097,16.28185,0.69467079925303
914,774,818,TBI13,0.4825674947916859,19.970316,0.29752097,16.28185,-0.6946707882555287
822,774,914,TBI13,0.4823558595190439,19.9744,0.2975818,15.973,0.6945184231885916
822,914,774,TBI13,0.48235582853177583,19.9744,0.2975818,15.973,-0.6945184347364156
818,774,914,TBI25,0.4822184801837087,19.97705,0.2976213,16.179642,-0.6944195254363406
914,774,818,TBI25,0.4822184801837087,19.97705,0.2976213,16.179642,0.6944195254363406
914,774,818,TBI24,0.4822184202461196,19.97705,0.2976213,16.179644,0.6944195142569952
818,774,914,TBI24,0.4822183587742469,19.977053,0.29762134,16.17964,-0.6944195096218184
818,918,778,TBI13,0.48207535341414054,19.97981,0.2976624,16.093401,-0.6943164769614464
818,778,918,TBI13,0.48207528496581487,19.979813,0.29766244,16.093405,0.6943164140352771
822,774,906,TBI25,0.4819445568063121,19.982334,0.29770002,16.302568,-0.6942222599786207
906,774,822,TBI25,0.4819445568063121,19.982334,0.29770002,16.302568,0.6942222599786207
906,774,822,TBI24,0.4819445330901836,19.982334,0.29770002,16.302568,0.6942222231714437
822,774,906,TBI24,0.4819444484414219,19.982336,0.29770005,16.302574,-0.6942222233290407
866,938,858,TBI13,0.48182240440598223,19.98469,0.2977351,15.624289,-0.6941342456060281
866,858,938,TBI13,0.4818221581509352,19.984694,0.29773515,15.624292,0.6941341310840564
818,922,778,TBI13,0.4816396730540967,19.988213,0.29778758,16.19691,-0.6940026191670953
818,778,922,TBI13,0.48163964844008555,19.988214,0.2977876,16.19691,0.6940026618499727
818,774,918,TBI25,0.48163655901049407,19.988272,0.29778847,16.130095,-0.6940004039243893
918,774,818,TBI25,0.48163655901049407,19.988272,0.29778847,16.130095,0.6940004039243893
