New_Tree_ID,AGB,ave_NDVI,ave_ND800_680,ave_mND_705,ave_DD,ave_mSR_705,ave_DATT,ave_Chl_Rred_edge,ave_TBI_13,ave_TBI_24,ave_TBI_25
1,78.38676803,0.7932590333313904,0.7481038140952542,0.5153577769850468,0.04886978600000001,3.1267555797777367,14.146916608306064,1.0593638126452705,0.9839952477572161,0.32225275098172057,0.67774724732096
2,109.9667645,0.8359344590128596,0.7961965490884383,0.5551423656040761,0.05494056599999999,3.4958203324275803,14.47330270459501,1.192959224797399,0.8540346715808979,0.338712143650347,0.6612878543963024
3,124.2417737,0.8593281664741333,0.8251949424038769,0.571279124157272,0.054581214,3.665039913559888,12.845350621981066,1.2264441733092957,0.9566295532361225,0.32753108254103114,0.6724689155296701
4,102.7364149,0.8302971984607305,0.7919820117124927,0.5612762438303703,0.05980932899999999,3.5586772307314978,13.808082478958525,1.2187778020328741,0.8955839749334731,0.3324137026414355,0.6675862956885037
5,115.1925426,0.8156323497025286,0.7717033245495258,0.5451556844998195,0.050343106999999984,3.3971089217288784,15.48312426483591,1.1625211962244637,1.0461658957723632,0.31260878231545836,0.687391215800753
6,105.6228538,0.8522612561463541,0.8174109953512949,0.588499655503763,0.062774405,3.8602632398953522,14.804367888690143,1.3192399804947277,0.9891078249373432,0.3201287622741859,0.6798712356745082
7,101.2935124,0.8548693525677796,0.8235251874326168,0.6010236267498622,0.067858735,4.012828156488625,12.950121267706594,1.3521798094824389,1.28739151869286,0.28530390822420276,0.7146960898478518
8,122.4516333,0.8766725236082479,0.846366588645408,0.5955168934188041,0.06247968499999998,3.944582270472545,13.100872355164217,1.3137058367279488,1.2236655239480427,0.2972480638332561,0.7027519343692656
9,80.51530395,0.8603361874390811,0.8257820582239445,0.5833014085579945,0.056139868999999995,3.7996322485158665,15.174579514095623,1.295424214593134,0.9496113310988189,0.32460590078753904,0.6753940972295651
10,68.26173975,0.8370569315050629,0.7961929948572077,0.5530871383011805,0.052061332,3.4751453114781397,14.86843044113784,1.1800188046502078,1.082876960374171,0.3068948801778305,0.6931051182063899
11,107.1107536,0.8511325712333564,0.8202006692598205,0.576279772307858,0.06572682399999999,3.720095636638983,11.876333803252148,1.2375666323310468,1.2904507093314392,0.2883913264650479,0.711608671547757
12,98.23680826,0.8512119617829143,0.8180558829449553,0.5660526760722997,0.05784099899999999,3.608854318222083,12.82445305631124,1.2080004618019702,1.1623035491946978,0.3008224739709487,0.6991775239324742
13,79.80092627,0.833630286269623,0.7858550102516586,0.5434597388290531,0.04165294900000001,3.3807746376875243,19.653909973597212,1.1572320640834661,0.8327336235635774,0.33782810215311376,0.6621718959818367
14,82.35359615,0.8583833341249791,0.8177249902828319,0.5663164840076055,0.050347473000000004,3.6116578649103728,15.69544476636494,1.2302733297851471,0.8301608231721535,0.3407296461079742,0.6592703523358083
15,52.4528406,0.8350357839105872,0.7957768769082411,0.536851073824428,0.04741894899999999,3.3182654319540976,13.336913284296743,1.1256455339654226,0.8563129864196845,0.33680801729525767,0.6631919809326131
16,67.40703717,0.8648537767259518,0.8258270114225305,0.5773211493367523,0.048042547000000005,3.7317247927260007,18.10481686453418,1.28388132921991,0.733552921495752,0.3554399015772804,0.6445600964305601
17,89.7667815,0.8597682010927634,0.8228947156855801,0.5721315665359074,0.05713298800000001,3.6743340737472567,14.490418149196769,1.2356732782981883,0.9722985181117584,0.32359206743929186,0.6764079308418969
18,87.24396389,0.8428467056841409,0.7943894330723132,0.5412519485875237,0.03783018,3.3596915363677353,19.32209614721601,1.1514819381431312,1.0365986735977752,0.31291106129281565,0.6870889370961132
19,107.244443,0.8570108867628946,0.8143818801173958,0.5566081884063773,0.046816410999999995,3.510683203952849,17.47359301779852,1.2244301381947396,0.7299886666530798,0.3511476960914639,0.6488523021441653
20,81.61584885,0.8333708309230173,0.7868123965713072,0.5538392201497946,0.046925496,3.4826889488734314,20.714872798475827,1.232191999713058,0.7189548759557379,0.35634917101189195,0.643650827072147
21,94.56072651,0.8627310717546134,0.8254212263376279,0.5601569026408499,0.049235611,3.5470760128969805,14.873176020246651,1.2300045241418047,0.7908603245314964,0.34633534900238194,0.65366464894298
22,139.2774604,0.853426638598597,0.8220497532060391,0.6039825666255905,0.070130005,4.0502827124591825,13.789193964914286,1.3811515312753815,1.4256709767112776,0.2788600230233325,0.7211399750350712
23,43.16346906,0.8719912645352813,0.8264398206048322,0.5747500414848766,0.043826589000000006,3.7031162654509475,21.739543319091762,1.288920191412409,0.6219273363393036,0.37652048814487526,0.6234795099931126
24,89.51356569,0.8512041666444056,0.8123584612712462,0.553925536655654,0.05533251800000001,3.483556361422374,14.391616309173301,1.1917305632940072,0.9320259338507,0.32542920494971095,0.6745707932307985
25,94.58074054,0.8546291473255383,0.8147587516891882,0.5620558924545104,0.049040092,3.566792800592655,16.059010580093517,1.2178181655528766,0.9511843227402388,0.3254576604804667,0.6745423378713572
26,82.70858614,0.8245963537619511,0.7758129981355091,0.5107230836576919,0.03777561200000001,3.0876647371031543,16.415055609844757,1.0501489760166938,0.7243424917730674,0.3521756102531226,0.6478243881667933
27,90.24573857,0.8433779678161502,0.8012400197873589,0.566844636115191,0.05125607999999999,3.6172809207526933,17.03866249061951,1.2590773408250757,0.867551230732726,0.3375963028773449,0.6624036953034929
28,72.30884802,0.8432697492066347,0.8039328134023735,0.5739036812478058,0.05529216099999999,3.6937744108057458,15.613940738485587,1.2735594998632789,0.7897962106738583,0.35124893983072086,0.6487510585037899
29,57.61488017,0.8681383539130235,0.8320621788890955,0.5844009741063766,0.056140834000000014,3.8123308110056713,16.594370627683926,1.3129064834510809,1.0502124701867568,0.314310629482636,0.6856893686926058
30,51.94978912,0.8461774374894178,0.8007313953271796,0.5379587110581197,0.03955744400000002,3.3286174746306907,16.735019562157934,1.1434472757702547,0.7968463883460581,0.3493551177469464,0.6506448804226311
31,79.02019367,0.8861082348787016,0.8589462283152447,0.6087268797131251,0.069048236,4.11151902290982,14.450916253574778,1.4066543219168826,0.5778420042533591,0.37675310496344344,0.6232468930278735
32,70.77411233,0.8753225181948403,0.8418737554395171,0.6021841278269,0.065850559,4.027451485278973,15.688633246744853,1.4070259275763424,0.6212443262979602,0.3710909160660212,0.6289090822158939
33,36.87862221,0.8677997617602544,0.83572831935135,0.5954522536452651,0.069090082,3.943792211828646,12.13148135600547,1.3028705232572078,0.5686516549261982,0.3730767151532794,0.6269232828487109
34,78.12089996,0.8408022333308853,0.7978709355044934,0.553202707570566,0.052807565,3.476302859293118,16.266206318696028,1.2095235048439892,0.6483653865462845,0.36276307289676274,0.6372369255062696
35,90.32501245,0.8838831774986792,0.8554473988566905,0.6302879731838483,0.078890086,4.409615734593905,12.591788634150573,1.4670555098404674,0.6799097061607026,0.36427467106611944,0.6357253264793291
36,59.18107363,0.8726551916961905,0.8416139934806168,0.5930074929761595,0.070222912,3.9140953781996966,13.491409576534693,1.3317652171483223,0.6495066476548368,0.3675433604877379,0.6324566378296409
37,53.99643758,0.8652686431675234,0.8355563153731096,0.5979339203803851,0.072593725,3.974306710131428,13.01724332395776,1.3406024271116541,0.7480300462614822,0.35202139253876574,0.6479786055999077
38,53.33566814,0.8416164394548635,0.8018517434226985,0.5592509436140717,0.05839567,3.537729505816785,14.082884641464434,1.1843208013579325,0.5800297457482773,0.3799698335837297,0.6200301646465202
39,40.54604196,0.8689067059769737,0.831090916520015,0.6011638081565827,0.060740727,4.01459004503878,17.694020755103708,1.4109747721364805,0.5469883329242321,0.38739365483668653,0.6126063434351007
40,37.8242169,0.7926011594555799,0.7414445081506568,0.5091517089457772,0.045071649000000005,3.074578712660216,15.816656740344662,1.0576534948171123,0.5374766838273792,0.37909359497645717,0.6209064034012688
41,51.0628713,0.8925264364560509,0.8616502597682921,0.6137206990845733,0.06831801100000001,4.177600748066875,14.93911320103435,1.4372910089837623,0.5750280414558527,0.37857443822307774,0.6214255598766926
42,39.5140975,0.8688039457230493,0.8361466410779023,0.5924039109606012,0.067453596,3.9068184200912706,13.99847449524752,1.3357698898998178,0.7247873280037663,0.3522349109083702,0.6477650871849306
43,39.74733355,0.8422505181858436,0.8010153700418948,0.5772441810665039,0.059498665000000006,3.7308633208910957,17.179254770603723,1.3377882383231614,0.5760619088344179,0.3761993368455825,0.6238006614743554
44,56.4556332,0.8796361709167796,0.8444248980736843,0.5994323184731698,0.06002953899999999,3.992914030559998,15.762629960763494,1.372677468222527,0.6002776127980258,0.37403560311679224,0.6259643950626562
45,25.02701878,0.8151448968194166,0.7742754006427434,0.5194533447701412,0.04992703400000001,3.161926789681595,12.117371665054673,1.0481003539875453,0.7454779432141205,0.3552878777982079,0.6447121204238917
46,109.6186072,0.8599429093914251,0.8280683837050035,0.5850454999814432,0.070474209,3.819805539636047,11.909674195651442,1.2760399525181483,0.7294783592792478,0.35580316345740004,0.6441968345190365
47,50.67342485,0.856879561210673,0.8216326871657634,0.5627874846475898,0.05821193499999999,3.5744344627076363,13.282458369241903,1.201089894281921,0.6698195303202349,0.3647794569884947,0.6352205408348917
48,32.94406348,0.8762786409522273,0.8417994167608932,0.6046236440412792,0.06557399200000001,4.058471421564859,16.21210799000175,1.4104178767346962,0.6529310992684029,0.3648192958078094,0.6351807025156057
49,44.35949173,0.8749950326538973,0.839493978614212,0.5985633972933185,0.06373989800000002,3.982106723641268,14.227672660322337,1.3565328969357031,0.6451617100953683,0.3721512136917001,0.6278487844531144
50,58.70245845,0.8980372003752926,0.8703717474634136,0.618474918137359,0.06700374999999999,4.2421193058223725,13.724668220414006,1.4339073171437868,0.6088395130124181,0.3690914202134871,0.6309085777062726
51,51.30043059,0.892884260935474,0.8628181003789621,0.6201804897264879,0.07290544,4.265658933796352,12.585293044302833,1.4190342831215448,0.5641478981206328,0.3791656763818263,0.6208343213209954
52,23.63660996,0.8945274041590794,0.857054932482492,0.6153974921434562,0.054695583,4.20017409085225,20.074823724875408,1.4766910427333242,0.49842070847862924,0.38444655722095644,0.6155534408578214
53,52.38459929,0.8714002493001859,0.837520237920477,0.5838309916953796,0.06250723700000002,3.8057398743324895,12.734235393632552,1.2964028342970355,0.5712234081715319,0.3838799842244349,0.6161200138242738
54,80.10569871,0.8405952366910617,0.8024061375658217,0.5699594097138039,0.06352559799999999,3.6507237758816924,13.780914747805717,1.2450388461947552,0.7066394388565942,0.35727960586241825,0.6427203924293743
55,30.92496356,0.8826726706878468,0.8480805136608529,0.6147994931298745,0.06755833,4.192101156832251,15.590593331557324,1.4389586499786664,0.4779955393343413,0.400803884482057,0.5991961136732556
56,87.07503944,0.8219113634509635,0.7773641875681574,0.5246572799385372,0.048801194000000006,3.2074905399738927,14.128983793272047,1.1148848800742148,0.6013633238561913,0.377409701713351,0.6225902963813787
57,58.43941671,0.8653371088302186,0.82639106611186,0.5718921587951046,0.05647188399999999,3.6717200785577173,14.832661385128995,1.2665836862963373,0.6142953033841702,0.37796368799656443,0.6220363100671814
58,50.13534971,0.8821285384022384,0.8441227726568901,0.6088024523580476,0.05672529999999999,4.112506479217318,17.56212826824451,1.4144246011822617,0.5494398466461049,0.37125105717914664,0.6287489408919275
59,39.74733355,0.8618264812004662,0.8220009283692631,0.5746322900116301,0.05785623900000001,3.7018143375557266,15.209066953930488,1.296115066601597,0.502603257334065,0.38917174895255474,0.6108282491438622
60,76.02129961,0.8537614203879128,0.8129545400876599,0.5658271257848092,0.05474835700000001,3.6064600447105395,14.871804454383293,1.24410655382786,0.6266688711394942,0.3740057885889065,0.6259942094838291
61,63.99937045,0.8762641947290912,0.8373298229388053,0.5848515449525601,0.050784657,3.817553751473093,17.816897457362554,1.3547292525525068,0.5093694167679319,0.39106970848301675,0.6089302893965446
62,49.41193063,0.8582999910215028,0.8265350804896272,0.6010427696225044,0.07346053100000001,4.0130686838161065,12.090029728567275,1.333930358028038,0.792204395613325,0.3455316912665363,0.654468306698853
63,63.82430149,0.8704691846063657,0.8361548666118248,0.5781549970323795,0.06531192400000001,3.74107784564584,12.009556991069694,1.2451101458622968,0.7361332446927258,0.35597789938286606,0.6440220987435391
64,32.21010303,0.8603489464327112,0.8264461526156314,0.5834463215593987,0.07314078499999999,3.801301972537199,12.601480871692749,1.2775432026569615,0.6911462581995758,0.35842819019948796,0.641571807967301
65,43.02858032,0.8749308064847113,0.8408413751320849,0.6114082006915924,0.06716085,4.146788997858143,16.037019178213985,1.4500455929547535,0.5656171598612395,0.38085717590886614,0.6191428222818367
66,32.35254559,0.8720807693763716,0.8254245130820493,0.5681080598849916,0.04482663600000002,3.6307879614773633,19.08343793360193,1.2973459390876498,0.4670687524626329,0.39180696871087106,0.6081930294637199
67,56.80205659,0.863762245756026,0.8293793608329383,0.5738706848735161,0.06292067800000001,3.6934109595480566,12.295336467807369,1.2703826749608673,0.7781971413814789,0.3545004079297654,0.6454995900088953
68,41.47937683,0.8472215962223905,0.8046672516603971,0.5445847630251464,0.049081819,3.3915965809596846,15.846912236715609,1.1964336137111427,0.490921893567859,0.3813171881123821,0.6186828101771804
69,55.59174654,0.8428493599058869,0.8011704250692389,0.5626109027218047,0.056247108999999997,3.5725876802036867,14.807163095688608,1.2503085449161992,0.5686365436183674,0.3758422191164616,0.6241577786741471
70,96.07161628,0.8590100849784952,0.8208283026352489,0.5818241491332945,0.057118837,3.7826769368418023,14.360022036621691,1.29082337795605,0.5604426169267354,0.37468607293627665,0.6253139251024346
71,11.98401757,0.8688611468983571,0.8088199114077621,0.5446074856184384,0.030211151000000006,3.3918157041714205,27.10953665629008,1.1878927250956677,0.4593911602186186,0.39909693799562007,0.6009030600758828
72,38.28179859,0.8506120819829819,0.8083052204853057,0.5683544711809297,0.053039804999999995,3.6334315170276823,17.467085338888403,1.2545342796184995,0.5298997434390355,0.38826667423182554,0.6117333239264875
73,30.88539642,0.8680270231126598,0.832275551133972,0.5856817411084395,0.066785379,3.827206995615998,13.510901251890587,1.319563601600211,0.784573549656939,0.3500790196746571,0.649920978573735
74,46.22901777,0.8744478110355778,0.8379347119302993,0.5859428726777615,0.052507176000000017,3.8302513471710693,19.60722738918761,1.3391773273664538,0.3168481457567302,0.407754342511136,0.5922456554151009
75,36.32284511,0.8588737024488418,0.8262449991907995,0.5669558555621023,0.049014894,3.6184667844882834,15.473785778007949,1.2369696462883693,0.5655296575453955,0.37653457381555117,0.6234654236312709
