New_Tree_ID,AGB,sun_a_NDVI,sun_a_ND800_680,sun_a_mND_705,sun_a_DD,sun_a_mSR_705,sun_a_DATT,sun_a_Chl_Rred_edge,sun_a_TBI_13,sun_a_TBI_24,sun_a_TBI_25
1,78.38676803,0.7606294632983339,0.7103108913905773,0.4760520429223202,0.040980757999999985,2.817173005931525,12.534664674068123,0.9460326770381926,0.8823003284943579,0.3343707167498251,0.6656292819539474
2,109.9667645,0.7977346441840906,0.7553847757266923,0.5200796768095851,0.05383246999999999,3.1673584167848476,11.4707269403519,1.0606461719493159,0.9271751481550937,0.3344022109167413,0.6655977876357645
3,124.2417737,0.8254259415111507,0.7961370299210769,0.5495840034531783,0.06700742800000001,3.4403396275353564,8.640387593413061,1.1094628357761924,1.328205826979309,0.2947508659723088,0.7052491326169171
4,102.7364149,0.7956966668517209,0.7553853271488501,0.5289946624302887,0.057978036999999996,3.2462363771804728,11.24020427986667,1.085699415067284,1.075073117438741,0.31659038384597055,0.6834096149253753
5,115.1925426,0.7707519210811127,0.7249471844156123,0.5054429021755353,0.052452387,3.044022433696931,11.183964427517838,1.0154709812199951,1.1174636976523957,0.3110906780420403,0.6889093206103374
6,105.6228538,0.8367498553350528,0.8030979318508691,0.5721670644305689,0.06467803,3.67472191052806,11.56445240162649,1.2253412475683803,0.98797353908207,0.32622814027323843,0.6737718582108201
7,101.2935124,0.8228349116528987,0.7904332674133622,0.5675997189071665,0.068615925,3.6253438899241712,10.030711805252217,1.1963909586780042,1.176435025267012,0.3081703034510112,0.6918296952036984
8,122.4516333,0.8454816423430771,0.8141659988229974,0.5636969910526127,0.06899103000000001,3.583970216114102,9.436139842523804,1.174244512781765,1.2024644788195902,0.3063220317942416,0.6936779669009885
9,80.51530395,0.8103800724233494,0.7716310271953396,0.5323038959674575,0.05929593000000001,3.2762810744846935,10.629457421609084,1.0883911472850616,1.0206336372457798,0.3271949478867685,0.6728050507718872
10,68.26173975,0.8222586410654217,0.7818490055875179,0.5279909085878844,0.051699109999999986,3.237206516743688,11.285886227650487,1.0725294616962917,0.9724586445883356,0.32542779071706235,0.6745722080086984
11,107.1107536,0.827119567383316,0.7938685344989151,0.5448705082967845,0.062757324,3.3943537711908753,9.791725168122616,1.10913455395171,1.168716287281962,0.308068386621269,0.6919316119825869
12,98.23680826,0.818170042349738,0.7822320517550246,0.5310192541972861,0.060562701,3.264567396988401,9.472884399647173,1.0690012282912074,1.1899315248590732,0.30095088510091955,0.6990491134695537
13,79.80092627,0.7891239424468399,0.7414533810635663,0.514328723083697,0.049275265,3.1180116947257748,13.07251624331751,1.0308101195928336,0.8457785677961447,0.3420204728910432,0.6579795257347065
14,82.35359615,0.8256663914639651,0.7867749177891932,0.5456389625496085,0.05843283500000001,3.4017858778861028,11.190108006388474,1.1178019534450927,0.9780210722834795,0.3246538265838026,0.6753461722293901
15,52.4528406,0.7950550233083047,0.7550880802426655,0.5020772341787061,0.049214604999999995,3.0166871965934132,9.718874042520008,0.9729628677746955,0.9631577549883706,0.3337811670505454,0.6662188317317089
16,67.40703717,0.8322822816912817,0.7923494885088134,0.5419957314172982,0.049913183000000014,3.366771523833195,12.915241299674523,1.149839422695,0.7144321497566783,0.36232527250323193,0.6376747259471506
17,89.7667815,0.8324257206359983,0.7972828273477843,0.5484564631978068,0.06253500600000002,3.429251744724078,10.526893617820015,1.1297604483288701,1.0521802392727104,0.3199752235352442,0.6800247751498467
18,87.24396389,0.8034687949477517,0.7621201654700933,0.5282691468703052,0.054090196,3.239705723860318,11.794574378918458,1.0787517594508933,1.2445641621695744,0.299302452370782,0.7006975464223764
19,107.244443,0.8125637109158479,0.7695998144353665,0.5248571765248395,0.053404352999999995,3.2092606671399313,12.232577938383553,1.0885021740955194,0.9619240812092106,0.3244270385790185,0.6755729601003468
20,81.61584885,0.7990231362294159,0.7525502863144148,0.5265775741678023,0.052295499999999995,3.224556947166727,14.440567281551232,1.1196065373242203,0.7415642786028891,0.3561824796850248,0.6438175189854815
21,94.56072651,0.837509005268851,0.8012273457084332,0.540633601497863,0.053732072000000006,3.3538230147962347,10.839612301678788,1.1173390581215923,0.8018871805890785,0.342063440555543,0.6579365579552757
22,139.2774604,0.8241212151911774,0.7915405522873056,0.5712902034100545,0.074233258,3.6651604748045234,10.259356505959833,1.2213098519369683,1.214989209843519,0.3091292188382792,0.6908707798091172
23,43.16346906,0.8298948430968045,0.7946791155847055,0.5580194432644283,0.065513285,3.5250859288292253,11.812603397054442,1.1964507133083533,1.1506007683600028,0.3088965713323489,0.691103427308125
24,89.51356569,0.8198536025310531,0.7749613374514535,0.5174229974493892,0.049328230999999986,3.1444163057309242,12.101124622434186,1.0465659225777895,0.9046896966373088,0.3302693144699501,0.6697306842014533
25,94.58074054,0.8208644694524149,0.7835245133809408,0.5398201316890497,0.06068110500000001,3.3461266690565177,10.929783250216852,1.1100169535598372,1.073340712776506,0.32040843087231885,0.6795915678645693
26,82.70858614,0.7718789776242145,0.722230832591549,0.4734818380408015,0.04141532700000001,2.7985394292630996,10.705165415394971,0.8957203555986215,0.8888179787192989,0.3350014800588801,0.6649985188227566
27,90.24573857,0.8035749635616467,0.7550215711490433,0.5231926492415252,0.045960903,3.194566201015319,13.787984744591865,1.0895428324852978,0.852049533888028,0.341116684098,0.6588833145590156
28,72.30884802,0.8142608035313199,0.7763707582535875,0.556813673241513,0.06348532800000001,3.5127745991224066,11.777314833770145,1.1798917275219298,0.9083053697644664,0.3350452921717427,0.6649547066008294
29,57.61488017,0.8357849200832438,0.7973034993238647,0.5415677610814545,0.057455900000000004,3.362694915992875,11.590755653988351,1.1446508069042882,1.0877826384102993,0.31064670724528637,0.6893532914058408
30,51.94978912,0.8090668314208733,0.7713852063104764,0.5220437322001681,0.05561009600000001,3.1844832531362655,9.863718198328826,1.0358586554896263,1.154464084515453,0.3125209300945714,0.6874790686037806
31,79.02019367,0.8760372669274364,0.8521161857183076,0.6132503590418181,0.08551590900000001,4.171304084489123,10.769609115969937,1.3804666406472124,0.6003836530464681,0.37954339384564795,0.6204566041208138
32,70.77411233,0.85483995168363,0.8244538698534463,0.5951118062372283,0.08072459400000001,3.9396352593376838,12.011843741002073,1.351313592218783,0.6854682689810918,0.3633838970616922,0.6366161014045603
33,36.87862221,0.8374757544609134,0.8099732925697023,0.5755111487684437,0.09273353199999998,3.711548943469207,7.728246635461474,1.202688949565835,1.0584661238953328,0.3065594602747194,0.6934405372960395
34,78.12089996,0.7948232437033865,0.7520410043087938,0.5285237492692565,0.061864721,3.241995212187339,12.39177216441443,1.1192109187667518,0.85686901019945,0.3382918285589661,0.6617081698101107
35,90.32501245,0.8526130009616107,0.8286153322985423,0.6104592167006514,0.11043616800000003,4.134250595032348,8.185263781433,1.3381939502581082,1.176076905979798,0.310193294513975,0.6898067028969965
36,59.18107363,0.8636599493103141,0.8391698689534984,0.6001573693215163,0.09322786299999998,4.001967886227943,10.167387408741668,1.347249091043956,0.8026777726185311,0.36125965785406217,0.6387403402529374
37,53.99643758,0.8473542415539213,0.823915105511219,0.5889993309790049,0.09265680800000001,3.866172123589745,9.068717622932223,1.2667389357470666,0.9363413873307502,0.339382578958162,0.6606174191371694
38,53.33566814,0.8090201475937336,0.7714962942728184,0.5398083255067889,0.068763471,3.3460151697940894,10.567881194838266,1.102026385216154,0.6535887791611197,0.37968106955338965,0.6203189287408954
39,40.54604196,0.838398846961008,0.8036279355047939,0.5916035596242458,0.079916027,3.897202326619041,12.676757967612716,1.357273120580448,0.729477736153798,0.36546798006401426,0.6345320181615365
40,37.8242169,0.784731619517873,0.7442108259238964,0.5158814315349455,0.062865732,3.131219351523923,9.936792054415815,1.0320369899073487,0.6478198819420457,0.3611725149989294,0.6388274835441677
41,51.0628713,0.8890559729747848,0.8596399894431062,0.6125606373415465,0.07675754,4.1620980996861965,11.515787177456675,1.4019289206019154,0.4847867134678859,0.4121283851133915,0.5878716125983382
42,39.5140975,0.8415331877225747,0.8137032557266981,0.5787948259607427,0.08914225,3.748279749755633,9.615038722755411,1.2442571563098817,1.0347898478206066,0.319867607679547,0.6801323904450143
43,39.74733355,0.8237486173561148,0.7855517488354699,0.574705162056415,0.076334727,3.7026199700520928,12.859623497842836,1.3134463963240592,0.743433403489057,0.3534608857007467,0.6465391126189438
44,56.4556332,0.8610414749462565,0.8305419979724844,0.5983778795761557,0.082328146,3.979805385079751,10.810037158251903,1.333334021875428,0.7859033402784943,0.35972844151196004,0.6402715566618665
45,25.02701878,0.7959583599621632,0.7608916577444014,0.524777640490956,0.06354140900000001,3.208556181007941,9.377182437421927,1.0382002914169988,0.8198187457702459,0.3386516505462405,0.6613483476128911
46,109.6186072,0.8549483673648027,0.8286302838297408,0.590378167633838,0.089715393,3.882552247662556,8.839862157904468,1.2619022205466441,0.7560623294058796,0.36208392603511536,0.6379160719065975
47,50.67342485,0.8336758215082549,0.8055956890049719,0.5557042980319793,0.08246844300000002,3.501506518424334,8.33738962671909,1.1374177591242365,0.9383787030746453,0.33378780349742027,0.6662121942467677
48,32.94406348,0.8403475731522554,0.8095846564147119,0.5737447107405274,0.07996876800000001,3.6920238848660927,10.673066021405523,1.2377968731883273,0.7676214578698217,0.34967344335430345,0.6503265549270484
49,44.35949173,0.8686329053362866,0.8420933761615256,0.607731415674142,0.08349145800000002,4.098547469430071,10.345806929031536,1.391501716750624,0.711106560387879,0.363542444311209,0.6364575535833799
50,58.70245845,0.8578898604809473,0.8279800931010892,0.5835091851719605,0.07951275000000001,3.802026664114943,10.022351288698028,1.2594135365767323,0.5916764887892892,0.37331484694448636,0.6266851513538487
51,51.30043059,0.8670837259486212,0.8431343854872497,0.6059322002390684,0.10256375099999998,4.075268772572307,7.788634144431813,1.3062325741909064,1.221301504990262,0.30022315161003976,0.6997768454936063
52,23.63660996,0.8799520343447812,0.851665014718803,0.6199711445789676,0.07742811299999999,4.262758259109566,12.517139767797923,1.4787930248036698,0.3865785439437862,0.40932599653417806,0.5906740013411489
53,52.38459929,0.854613076835883,0.8282524118403963,0.5826300547349621,0.08198853,3.7919118780360233,9.132444071409171,1.2632376821375129,0.641026389724656,0.3845974809864192,0.6154025168417226
54,80.10569871,0.8116323831937386,0.774740277927846,0.5467335739487431,0.073439179,3.4124159290360363,10.342768088686803,1.1308654486851157,0.7903956157407482,0.34881280885108573,0.6511871896976015
55,30.92496356,0.8679625789477116,0.8386564055809987,0.6148445661636007,0.09155408699999999,4.192708767281882,10.659350470067295,1.4052004179818378,0.5731449922892686,0.3898690996218217,0.6101308984626739
56,87.07503944,0.8129203910107237,0.7745223010757619,0.5373594050770785,0.06110142100000002,3.323010172726185,11.705501229727638,1.1468438585384035,0.5568112025241537,0.38406886257229506,0.6159311353847523
57,58.43941671,0.866597393483175,0.8380034220330222,0.5987010453334979,0.08030225199999999,3.983815618516128,10.995171588282675,1.35555678206106,0.7794015854558983,0.3516443835045588,0.6483556140710002
58,50.13534971,0.8507699718864938,0.8176856622884405,0.5956293430237022,0.07777443200000002,3.9459572882020093,10.860723966004889,1.3241533206775609,0.7463801184871119,0.35285331344217624,0.6471466847970541
59,39.74733355,0.8524276436951064,0.8185938307889413,0.5843902626235195,0.07542445699999999,3.812206784761153,11.493942388382829,1.3028439203134465,0.4752352886154362,0.39172816724777176,0.6082718307068411
60,76.02129961,0.8211376826503394,0.7842844171129957,0.5572934749217688,0.070079118,3.51766550728772,10.835973406284067,1.1917225369774713,0.6265098963479958,0.3797442496899643,0.6202557484789628
61,63.99937045,0.8491277403063174,0.8215142465516313,0.5859565323283549,0.078065813,3.8304107037531776,10.759323759417661,1.3228776256906447,0.643812294178493,0.36992309670891244,0.6300769008458607
62,49.41193063,0.8467672053504866,0.822071064758828,0.6046774805870325,0.09558699400000001,4.059160305979301,8.837693573436688,1.3231268242002563,0.9965232307917642,0.3268910737699342,0.6731089239425457
63,63.82430149,0.8532620688951098,0.8264232975198073,0.5854924911321496,0.08730306900000001,3.8250030591822446,8.950029342987827,1.2355547223642316,0.8742420668827466,0.3388491485873158,0.6611508491468385
64,32.21010303,0.8497324937785937,0.8217596737160175,0.5820904502589467,0.09176126199999998,3.7857245656776812,9.075022070861904,1.2304052049518432,0.6897619502146769,0.3589281515864489,0.6410718466075149
65,43.02858032,0.8628245443066404,0.8367207101668525,0.6246536219403719,0.09522354600000002,4.32841160833166,10.995242678532795,1.469332833960844,0.6517835530290931,0.3844502394205063,0.6155497586422629
66,32.35254559,0.8541972091748654,0.8195218973041878,0.576381478927581,0.06828002,3.7212288848931974,12.375733597861291,1.3106386062461577,0.5377943141251038,0.38046970468574814,0.6195302934193967
67,56.80205659,0.845696512013125,0.816658084018565,0.5645840978746778,0.07605359,3.5933094968453605,9.216508820105307,1.2005664222661494,1.090433653875242,0.32159284797202903,0.6784071498957268
68,41.47937683,0.8256061398032526,0.7902277821323096,0.5428318853818259,0.061365686000000016,3.374758287349849,11.931841191536993,1.1564856234515624,0.4425377685930468,0.39459017875281194,0.6054098195847425
69,55.59174654,0.8240654046136707,0.7895347495423295,0.5595238939998415,0.074842681,3.5405414074999566,10.362209368371687,1.1913232222150842,0.7167242307102376,0.3547876831740577,0.6452123145319212
70,96.07161628,0.8361482551640687,0.8061081461983988,0.58079946689214,0.07620640099999998,3.7709862946112076,9.848957443656692,1.2513711743912763,0.5845282209465003,0.3710058517227462,0.6289941462457577
71,11.98401757,0.8632498230954797,0.8233879710587262,0.5474083860380934,0.041925222000000005,3.41899481878366,16.559004291835727,1.274047155804133,0.20972974617695608,0.4239599833193366,0.5760400139877841
72,38.28179859,0.8242786638420646,0.7912107816571164,0.5673958670736493,0.07784299300000001,3.6231643344109625,10.858611817517435,1.219772723679819,0.8357902588119406,0.36017078918038475,0.6398292089117152
73,30.88539642,0.8648575319863222,0.8340479627881947,0.588096118847311,0.07739976499999998,3.8555017069408586,10.916776013441215,1.31071637387958,0.6815136595323492,0.3710310805822236,0.6289689175881323
74,46.22901777,0.8397191599959561,0.8075326815089005,0.5742509138827233,0.07609344600000001,3.6976025629581075,11.666840841381118,1.2397638514668596,0.3465048588867818,0.3984403981298777,0.6015595999555757
75,36.32284511,0.8241476885663468,0.8031441092542005,0.5659611523566481,0.087174216,3.6078824726686993,8.15898114549376,1.1744763052527234,1.6989631595279062,0.24150079389633153,0.7584992028394733
